<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2026.04.01	4696.383	4800.345	4666.887	4784.170	392346	0	280
2026.04.02	4784.241	4798.836	4553.765	4675.333	643264	0	280
2026.04.05	4662.923	4662.923	4605.069	4610.674	32336	0	280
2026.04.06	4610.706	4706.725	4600.572	4658.623	319658	0	280
2026.04.07	4658.976	4836.407	4607.334	4833.182	537162	0	280
2026.04.08	4833.247	4857.455	4699.471	4715.527	423441	0	280
2026.04.09	4715.597	4801.259	4698.047	4763.598	313411	0	280
2026.04.10	4763.661	4795.181	4730.580	4749.370	250571	0	160
2026.04.12	4670.232	4685.131	4644.070	4671.545	24001	0	280
2026.04.13	4671.187	4766.045	4664.495	4757.511	300354	0	280
2026.04.14	4757.699	4850.676	4751.483	4836.889	245481	0	280
2026.04.15	4836.946	4871.359	4786.049	4823.572	254664	0	280
2026.04.16	4823.217	4838.371	4772.813	4791.651	240173	0	280
2026.04.17	4791.559	4889.866	4767.401	4832.633	268944	0	280
2026.04.19	4774.618	4795.369	4736.736	4754.935	24502	0	360
2026.04.20	4755.380	4833.038	4744.846	4821.556	257675	0	280
2026.04.21	4821.618	4830.511	4668.140	4737.816	345915	0	280
2026.04.22	4738.060	4772.377	4723.424	4727.960	210687	0	280
2026.04.23	4728.026	4753.821	4664.010	4695.231	356028	0	280
2026.04.24	4695.158	4740.291	4657.581	4708.466	258017	0	280
2026.04.26	4696.125	4699.884	4674.786	4680.075	12031	0	280
2026.04.27	4680.139	4730.145	4666.949	4692.056	207296	0	280
2026.04.28	4692.118	4701.445	4554.813	4595.783	301418	0	280
2026.04.29	4595.847	4610.425	4510.111	4561.586	300626	0	280
2026.04.30	4561.628	4647.042	4540.773	4626.348	307887	0	280
2026.05.01	4626.569	4660.285	4559.766	4613.386	228118	0	280
