<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2026.04.01	00:00:00	4696.383	4722.581	4693.382	4711.008	18594	0	280
2026.04.01	01:00:00	4711.065	4724.264	4681.288	4692.565	26401	0	280
2026.04.01	02:00:00	4692.634	4700.250	4678.199	4684.705	14814	0	280
2026.04.01	03:00:00	4684.639	4694.257	4679.646	4681.832	9791	0	280
2026.04.01	04:00:00	4682.136	4682.199	4666.887	4676.506	7863	0	280
2026.04.01	05:00:00	4676.269	4703.361	4674.738	4684.366	11856	0	280
2026.04.01	06:00:00	4684.431	4733.135	4682.407	4730.483	17660	0	280
2026.04.01	07:00:00	4730.540	4747.686	4709.636	4713.139	19389	0	280
2026.04.01	08:00:00	4712.783	4740.381	4710.343	4728.640	16752	0	280
2026.04.01	09:00:00	4728.698	4730.213	4712.999	4722.956	12681	0	280
2026.04.01	10:00:00	4723.089	4738.859	4715.155	4731.271	10910	0	280
2026.04.01	11:00:00	4731.185	4763.020	4728.039	4752.138	13770	0	280
2026.04.01	12:00:00	4752.071	4753.737	4724.195	4724.530	30371	0	280
2026.04.01	13:00:00	4724.844	4749.556	4715.902	4738.278	35357	0	280
2026.04.01	14:00:00	4738.097	4768.838	4723.977	4760.873	35443	0	280
2026.04.01	15:00:00	4760.930	4788.354	4758.140	4786.657	21226	0	280
2026.04.01	16:00:00	4786.439	4790.742	4774.464	4787.351	13485	0	280
2026.04.01	17:00:00	4787.347	4793.028	4773.480	4774.473	12385	0	280
2026.04.01	18:00:00	4774.378	4775.260	4742.107	4753.262	24476	0	280
2026.04.01	19:00:00	4753.321	4778.259	4750.926	4766.214	18708	0	280
2026.04.01	20:00:00	4765.816	4771.291	4753.999	4756.874	7255	0	280
2026.04.01	22:00:00	4758.737	4782.836	4756.310	4776.600	5017	0	280
2026.04.01	23:00:00	4776.522	4800.345	4773.529	4784.170	8142	0	280
2026.04.02	00:00:00	4784.241	4798.836	4774.842	4784.572	15781	0	280
2026.04.02	01:00:00	4784.250	4786.514	4650.310	4696.456	88304	0	280
2026.04.02	02:00:00	4696.390	4703.901	4655.014	4686.944	40374	0	280
2026.04.02	03:00:00	4687.012	4699.136	4675.521	4676.026	16268	0	280
2026.04.02	04:00:00	4676.323	4681.583	4657.083	4672.441	14477	0	280
2026.04.02	05:00:00	4672.501	4680.347	4585.997	4594.005	36283	0	280
2026.04.02	06:00:00	4594.076	4608.383	4553.765	4599.057	47234	0	280
2026.04.02	07:00:00	4598.997	4651.242	4597.109	4642.815	21222	0	280
2026.04.02	08:00:00	4642.808	4648.922	4617.326	4620.665	19213	0	280
2026.04.02	09:00:00	4620.682	4631.988	4613.010	4621.887	15357	0	280
2026.04.02	10:00:00	4621.948	4635.320	4603.938	4620.645	16214	0	280
2026.04.02	11:00:00	4620.587	4630.716	4592.604	4599.881	19006	0	280
2026.04.02	12:00:00	4600.191	4630.244	4594.436	4601.740	24744	0	280
2026.04.02	13:00:00	4601.804	4651.474	4580.302	4645.933	63790	0	280
2026.04.02	14:00:00	4645.991	4699.733	4631.566	4681.513	77237	0	280
2026.04.02	15:00:00	4681.667	4684.055	4652.475	4660.862	41699	0	280
2026.04.02	16:00:00	4660.924	4670.500	4642.698	4659.051	26791	0	280
2026.04.02	17:00:00	4658.939	4668.446	4645.615	4648.800	20664	0	280
2026.04.02	18:00:00	4648.863	4672.135	4647.404	4668.620	14463	0	280
2026.04.02	19:00:00	4668.676	4681.802	4661.403	4672.105	16398	0	280
2026.04.02	20:00:00	4672.166	4676.927	4664.274	4675.333	7745	0	280
2026.04.05	22:00:00	4662.923	4662.923	4608.316	4645.425	19984	0	280
2026.04.05	23:00:00	4645.521	4651.400	4605.069	4610.674	12352	0	280
2026.04.06	00:00:00	4610.706	4629.491	4600.572	4622.296	20445	0	280
2026.04.06	01:00:00	4622.382	4643.253	4620.288	4625.773	14309	0	280
2026.04.06	02:00:00	4625.986	4671.878	4623.545	4648.162	18359	0	280
2026.04.06	03:00:00	4648.098	4648.211	4625.175	4640.486	13185	0	280
2026.04.06	04:00:00	4640.368	4660.048	4639.837	4658.904	7688	0	280
2026.04.06	05:00:00	4658.910	4678.938	4651.541	4652.784	10804	0	280
2026.04.06	06:00:00	4652.791	4667.930	4643.376	4665.849	12611	0	280
2026.04.06	07:00:00	4665.791	4688.674	4644.942	4684.498	13834	0	280
2026.04.06	08:00:00	4684.695	4698.268	4680.371	4695.562	14035	0	280
2026.04.06	09:00:00	4695.630	4706.725	4690.919	4693.717	11925	0	280
2026.04.06	10:00:00	4693.771	4697.565	4684.652	4689.920	11784	0	280
2026.04.06	11:00:00	4689.988	4696.890	4676.963	4678.015	10409	0	280
2026.04.06	12:00:00	4677.956	4686.760	4659.481	4675.950	12786	0	280
2026.04.06	13:00:00	4675.986	4681.621	4659.629	4679.732	28519	0	280
2026.04.06	14:00:00	4680.182	4697.730	4660.127	4682.923	33387	0	280
2026.04.06	15:00:00	4682.997	4684.023	4652.024	4668.211	21588	0	280
2026.04.06	16:00:00	4668.087	4672.593	4657.663	4660.499	13386	0	280
2026.04.06	17:00:00	4660.566	4661.118	4645.560	4653.739	15810	0	280
2026.04.06	18:00:00	4653.796	4666.483	4648.607	4658.181	12026	0	280
2026.04.06	19:00:00	4658.186	4659.412	4645.316	4655.213	8677	0	280
