<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2026.04.01	00:00:00	4696.383	4705.025	4693.382	4703.109	5175	0	280
2026.04.01	00:15:00	4703.138	4721.967	4702.433	4721.636	5016	0	280
2026.04.01	00:30:00	4721.621	4722.581	4699.841	4706.252	3918	0	280
2026.04.01	00:45:00	4706.314	4719.373	4704.422	4711.008	4485	0	280
2026.04.01	01:00:00	4711.065	4724.264	4689.714	4707.841	10935	0	280
2026.04.01	01:15:00	4707.759	4708.439	4692.229	4708.375	5658	0	280
2026.04.01	01:30:00	4708.113	4708.113	4681.288	4687.976	5469	0	280
2026.04.01	01:45:00	4687.918	4696.936	4686.006	4692.565	4339	0	280
2026.04.01	02:00:00	4692.634	4700.250	4686.850	4693.987	4930	0	280
2026.04.01	02:15:00	4694.034	4697.618	4683.300	4687.344	2931	0	280
2026.04.01	02:30:00	4687.284	4690.472	4678.199	4681.489	3854	0	280
2026.04.01	02:45:00	4681.788	4689.885	4678.530	4684.705	3099	0	280
2026.04.01	03:00:00	4684.639	4692.647	4682.635	4689.622	3050	0	280
2026.04.01	03:15:00	4689.564	4694.257	4684.480	4687.432	2491	0	280
2026.04.01	03:30:00	4687.362	4688.863	4682.824	4686.780	2133	0	280
2026.04.01	03:45:00	4687.028	4688.744	4679.646	4681.832	2117	0	280
2026.04.01	04:00:00	4682.136	4682.199	4673.072	4673.731	2052	0	280
2026.04.01	04:15:00	4673.970	4674.134	4666.887	4672.531	2321	0	280
2026.04.01	04:30:00	4672.236	4676.956	4669.218	4676.661	1838	0	280
2026.04.01	04:45:00	4676.737	4681.858	4673.049	4676.506	1652	0	280
2026.04.01	05:00:00	4676.269	4684.646	4674.738	4682.878	1880	0	280
2026.04.01	05:15:00	4682.915	4690.104	4680.451	4686.040	2827	0	280
2026.04.01	05:30:00	4686.107	4703.361	4686.107	4702.067	3753	0	280
2026.04.01	05:45:00	4702.249	4703.204	4684.004	4684.366	3396	0	280
2026.04.01	06:00:00	4684.431	4697.414	4682.407	4697.375	4308	0	280
2026.04.01	06:15:00	4697.728	4711.562	4692.487	4709.051	4314	0	280
2026.04.01	06:30:00	4709.023	4712.712	4702.144	4708.270	3839	0	280
2026.04.01	06:45:00	4708.335	4733.135	4708.335	4730.483	5199	0	280
2026.04.01	07:00:00	4730.540	4732.865	4714.339	4715.428	5661	0	280
2026.04.01	07:15:00	4715.492	4725.712	4713.182	4723.100	3037	0	280
2026.04.01	07:30:00	4723.181	4747.686	4721.943	4730.807	5137	0	280
2026.04.01	07:45:00	4730.559	4732.811	4709.636	4713.139	5554	0	280
2026.04.01	08:00:00	4712.783	4726.162	4710.343	4718.942	5275	0	280
2026.04.01	08:15:00	4719.046	4735.767	4717.206	4730.471	4131	0	280
2026.04.01	08:30:00	4730.411	4740.381	4726.291	4731.823	4217	0	280
2026.04.01	08:45:00	4732.037	4732.551	4726.014	4728.640	3129	0	280
2026.04.01	09:00:00	4728.698	4730.213	4717.695	4718.334	3151	0	280
2026.04.01	09:15:00	4718.276	4723.773	4713.920	4719.275	3075	0	280
2026.04.01	09:30:00	4719.213	4722.835	4712.999	4719.008	3367	0	280
2026.04.01	09:45:00	4719.066	4727.828	4718.994	4722.956	3088	0	280
2026.04.01	10:00:00	4723.089	4724.727	4715.372	4715.734	2890	0	280
2026.04.01	10:15:00	4715.676	4729.394	4715.155	4728.426	2744	0	280
2026.04.01	10:30:00	4727.986	4736.332	4726.051	4734.685	2489	0	280
2026.04.01	10:45:00	4734.765	4738.859	4727.827	4731.271	2787	0	280
2026.04.01	11:00:00	4731.185	4740.428	4728.039	4736.540	3049	0	280
2026.04.01	11:15:00	4736.613	4746.386	4736.379	4744.930	3010	0	280
2026.04.01	11:30:00	4745.027	4763.020	4744.665	4760.561	4256	0	280
2026.04.01	11:45:00	4760.430	4761.505	4752.138	4752.138	3455	0	280
2026.04.01	12:00:00	4752.071	4753.717	4739.339	4743.705	3627	0	280
2026.04.01	12:15:00	4743.593	4745.587	4724.707	4735.321	5419	0	280
2026.04.01	12:30:00	4734.991	4753.737	4731.383	4747.405	5223	0	280
2026.04.01	12:45:00	4747.357	4753.369	4724.195	4724.530	16102	0	280
2026.04.01	13:00:00	4724.844	4733.487	4715.902	4731.479	9302	0	280
2026.04.01	13:15:00	4731.492	4742.203	4730.623	4736.284	4891	0	280
2026.04.01	13:30:00	4736.226	4749.556	4730.644	4743.469	10969	0	280
2026.04.01	13:45:00	4743.127	4748.594	4733.705	4738.278	10195	0	280
2026.04.01	14:00:00	4738.097	4747.061	4723.977	4744.634	9742	0	280
2026.04.01	14:15:00	4744.563	4754.963	4730.230	4741.947	9694	0	280
2026.04.01	14:30:00	4741.870	4756.516	4734.694	4753.809	9540	0	280
2026.04.01	14:45:00	4753.868	4768.838	4752.533	4760.873	6467	0	280
2026.04.01	15:00:00	4760.930	4775.001	4758.140	4764.871	6634	0	280
2026.04.01	15:15:00	4764.757	4776.531	4762.516	4772.623	5272	0	280
2026.04.01	15:30:00	4772.705	4786.935	4769.637	4785.332	5383	0	280
2026.04.01	15:45:00	4785.403	4788.354	4782.342	4786.657	3937	0	280
2026.04.01	16:00:00	4786.439	4790.742	4774.464	4775.116	4910	0	280
2026.04.01	16:15:00	4775.174	4783.482	4774.550	4776.662	3721	0	280
2026.04.01	16:30:00	4776.732	4784.919	4775.126	4784.393	2878	0	280
2026.04.01	16:45:00	4784.114	4788.493	4781.647	4787.351	1976	0	280
2026.04.01	17:00:00	4787.347	4793.028	4786.272	4788.584	2656	0	280
2026.04.01	17:15:00	4788.648	4790.151	4782.232	4785.263	3446	0	280
2026.04.01	17:30:00	4785.093	4786.003	4775.760	4781.949	3374	0	280
2026.04.01	17:45:00	4782.008	4783.362	4773.480	4774.473	2909	0	280
2026.04.01	18:00:00	4774.378	4775.260	4759.517	4771.279	6108	0	280
2026.04.01	18:15:00	4771.218	4771.780	4753.015	4754.134	6301	0	280
2026.04.01	18:30:00	4754.193	4766.115	4742.107	4756.578	7051	0	280
2026.04.01	18:45:00	4757.019	4758.585	4751.384	4753.262	5016	0	280
2026.04.01	19:00:00	4753.321	4765.167	4750.926	4759.612	5541	0	280
2026.04.01	19:15:00	4759.622	4769.261	4758.448	4765.729	3547	0	280
2026.04.01	19:30:00	4765.576	4778.259	4763.088	4769.495	3342	0	280
2026.04.01	19:45:00	4769.433	4771.763	4758.308	4766.214	6278	0	280
2026.04.01	20:00:00	4765.816	4769.656	4762.653	4768.669	2418	0	280
2026.04.01	20:15:00	4768.964	4771.291	4760.970	4762.260	1466	0	280
2026.04.01	20:30:00	4762.305	4763.817	4753.999	4760.072	2012	0	280
2026.04.01	20:45:00	4759.920	4763.637	4756.329	4756.874	1359	0	360
2026.04.01	22:15:00	4758.737	4774.206	4756.310	4772.862	1577	0	360
2026.04.01	22:30:00	4772.891	4781.181	4770.768	4776.160	1839	0	360
2026.04.01	22:45:00	4776.187	4782.836	4775.126	4776.600	1601	0	280
2026.04.01	23:00:00	4776.522	4791.517	4773.529	4790.965	1841	0	280
2026.04.01	23:15:00	4790.997	4799.158	4788.389	4794.699	2384	0	280
2026.04.01	23:30:00	4795.095	4800.345	4788.127	4789.502	1812	0	280
2026.04.01	23:45:00	4789.784	4789.999	4778.279	4784.170	2105	0	280
2026.04.02	00:00:00	4784.241	4793.289	4774.842	4792.664	4687	0	280
2026.04.02	00:15:00	4792.725	4798.836	4788.475	4789.879	3389	0	280
2026.04.02	00:30:00	4789.908	4796.308	4784.434	4787.558	3743	0	280
2026.04.02	00:45:00	4787.267	4792.078	4783.327	4784.572	3962	0	280
2026.04.02	01:00:00	4784.250	4786.514	4724.177	4750.650	22075	0	280
2026.04.02	01:15:00	4750.965	4753.132	4686.143	4697.127	28231	0	360
2026.04.02	01:30:00	4697.065	4708.432	4650.310	4689.955	24077	0	360
2026.04.02	01:45:00	4689.705	4711.804	4684.724	4696.456	13921	0	280
2026.04.02	02:00:00	4696.390	4703.901	4678.570	4688.720	13193	0	280
2026.04.02	02:15:00	4688.818	4703.084	4688.234	4690.069	7613	0	280
2026.04.02	02:30:00	4689.626	4691.188	4655.014	4675.765	12727	0	280
2026.04.02	02:45:00	4676.063	4689.352	4672.894	4686.944	6841	0	280
2026.04.02	03:00:00	4687.012	4691.693	4677.679	4689.633	5358	0	280
2026.04.02	03:15:00	4689.681	4699.136	4687.984	4691.723	3993	0	280
2026.04.02	03:30:00	4691.786	4692.480	4683.332	4685.967	3741	0	280
2026.04.02	03:45:00	4686.030	4687.732	4675.521	4676.026	3176	0	280
2026.04.02	04:00:00	4676.323	4681.583	4664.595	4668.490	4535	0	280
2026.04.02	04:15:00	4668.419	4672.211	4662.150	4666.389	3479	0	280
2026.04.02	04:30:00	4666.452	4669.847	4658.319	4661.747	3506	0	280
2026.04.02	04:45:00	4661.795	4673.395	4657.083	4672.441	2957	0	280
2026.04.02	05:00:00	4672.501	4675.282	4666.374	4670.375	2948	0	280
2026.04.02	05:15:00	4670.431	4680.347	4669.197	4677.181	3269	0	280
2026.04.02	05:30:00	4677.010	4679.372	4629.015	4634.014	12550	0	280
2026.04.02	05:45:00	4634.082	4635.457	4585.997	4594.005	17516	0	280
2026.04.02	06:00:00	4594.076	4596.837	4553.765	4580.607	17908	0	280
2026.04.02	06:15:00	4580.793	4598.736	4574.143	4591.009	10193	0	280
2026.04.02	06:30:00	4591.241	4598.588	4581.448	4588.257	9977	0	280
2026.04.02	06:45:00	4588.169	4608.383	4584.027	4599.057	9156	0	280
2026.04.02	07:00:00	4598.997	4622.100	4597.109	4620.976	6288	0	280
2026.04.02	07:15:00	4620.915	4627.414	4617.363	4620.541	5620	0	280
2026.04.02	07:30:00	4620.600	4641.276	4619.512	4637.129	4931	0	280
2026.04.02	07:45:00	4637.067	4651.242	4635.892	4642.815	4383	0	280
